+-----------------------------------------------------------------------------------------------------+
| Time of Event  | Memory Used |        Partitions State      | Total Free Memory | Usable Free Memory|
+-----------------------------------------------------------------------------------------------------+
| 0              | 0           | -1 , -1 , -1 , -1 , -1 , -1  | 100               | 100               |
| 0              | 10          | -1 , -1 , -1 , 15 , -1 , -1  | 90                | 90                |
| 0              | 1           | -1 , -1 , -1 , 15 , -1 , 12  | 88                | 89                |
| 0              | 10          | -1 , -1 , 1  , 15 , -1 , 12  | 73                | 79                |
| 0              | 1           | -1 , -1 , 1  , 15 , 2  , 12  | 65                | 78                |
| 0              | 7           | -1 , 3  , 1  , 15 , 2  , 12  | 40                | 71                |
| 147            | 0           | -1 , 3  , 1  , 15 , 2  , -1  | 42                | 72                |
| 150            | 0           | -1 , 3  , 1  , -1 , 2  , -1  | 52                | 82                |
| 187            | 0           | -1 , 3  , -1 , -1 , 2  , -1  | 67                | 92                |
| 197            | 0           | -1 , 3  , -1 , -1 , -1 , -1  | 75                | 93                |
| 211            | 0           | -1 , -1 , -1 , -1 , -1 , -1  | 100               | 100               |
+-----------------------------------------------------------------------------------------------------+
